version	path	line	kind	context	source
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3778	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_LOC, Vals,
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3820	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_RECORD_LABEL, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3841	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_RECORD_VALUE_SIMPLE, Vals,
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3844	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_RECORD_VALUE, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3847	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_RECORD_DECLARE, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3850	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_RECORD_DECLARE_VALUE, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3857	RECORD_EMIT	UNRESOLVED_CONTEXT	Stream.EmitRecord(bitc::FUNC_CODE_DEBUG_RECORD_ASSIGN, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3886	RECORD_EMIT	llvm::enumerate	Stream.EmitRecord(bitc::FUNC_CODE_BLOCKADDR_USERS, Vals);
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3921	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::VALUE_SYMTAB_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3932	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::VALUE_SYMTAB_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3942	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::VALUE_SYMTAB_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3952	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::VALUE_SYMTAB_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3961	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::CONSTANTS_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3970	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::CONSTANTS_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3983	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::CONSTANTS_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	3990	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::CONSTANTS_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	4004	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::FUNCTION_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	4015	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::FUNCTION_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	4024	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::FUNCTION_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	4034	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::FUNCTION_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	4044	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::FUNCTION_BLOCK_ID, Abbv) !=
release-22.1.8	llvm/lib/Bitcode/Writer/BitcodeWriter.cpp	4055	BLOCKINFO_ABBREV_DEFINE	UNRESOLVED_CONTEXT	if (Stream.EmitBlockInfoAbbrev(bitc::FUNCTION_BLOCK_ID, Abbv) !=
